name,label,strategy,head_rate,n_requests,slow_requests_client,traces_in_jaeger,outliers_in_jaeger,detection_rate_pct,detection_rate_vs_baseline,avg_response_ms,p95_response_ms,p99_response_ms,otelcol_cpu_rate,otelcol_mem_mb,spans_received_per_s,spans_exported_per_s
always_on,Always-On (100%),always_on,-,100,17,123,23,100.0,-,335.6,1572.3,2003.7,,,,
head_50,Head-based (50%),head,0.5,100,13,61,9,39.1,39.1,276.9,1399.8,1891.7,,,,
head_10,Head-based (10%),head,0.1,100,11,17,2,8.7,8.7,253.8,1802.0,1953.3,,,,
head_01,Head-based (1%),head,0.01,100,12,3,0,0.0,0.0,314.7,1805.3,2106.6,,,,
tail_500ms,Tail-based (>500ms),tail,-,100,12,15,14,60.9,60.9,269.7,1515.0,2135.5,,,,
